# Lines starting with #' are comments. Comment lines must form a continuous 
# block at the beginning of this file. 
# The last comment line is not really a comment. It must contain the names of 
# the variables that are used in the code. 
# The data has to start in the following line.        
# 
# List of variables: 
# TS: timestep 
# OHair1: OH-readical conc. based factor to multiply with avg. degradation rate in upper air 
# OHair2: OH-readical conc. based factor to multiply with avg. degradation rate in lower air 
# Based on data from: 
# Spivakovsky, C. M., Logan J. A., Montzka S. A., Balkanski Y. J., Foreman-Fowler M., 
# Jones D. B. A., Horowitz L.W., Fusco A. C., Brenninkmeijer C. A. M., Prather M. J., 
# Wofsy S. C., McElroy M. B., 2000, Three-dimensional climatological distribution of 
# tropospheric OH: Update and evaluation. Journal of geophysical research, Vol. 105, 
# No. D7, pp 8931-8980. 
# 
# precip: monthly average precipitation [m/h] 
# stwet: average length of rain events [h] 
# stdry: average length of dry spells [h] 
# tair1: temperature upper air [K] 
# tair2: temperature lower air [K] 
# tocean: temperature ocean surface [K] 
# tland: temperature land surface [K] 
# h1: Average upper air compartment height [m] 
# h2: Average lower air compartment height [m] 
# h5: Average ocean compartment depth [m] 
# runoffwater: water runoff 
# tspe: time since plowing event [month] 
# perc8: percentage of ocean covered by Sea Ice [-] 
# 
#CELL TS OHair1 OHair2 precip stwet stdry tair1 tair2 tocean tland h1 h2 h5 mixing12 mixing21 runoff6water tspe perc8 
51 3 0.347350785891174 0.343576131150809 0.000134000875696074 110.626024055481 11.9631435275078 248.950856018066 271.84312286377 277.34559173584 263.596705627441 5237.06088867187 1181.70227050781 161.212158203125 3.382112365 7.906783115 1.30698659628337e-06 3650 0.00121630697546061
51 4 0.616036787771726 0.657944520567384 0.000140558401653834 115.354525566101 10.6388790130615 249.892604064941 272.984210205078 277.774801635742 269.399201965332 5256.88237304687 1186.91065673828 115.942475891113 3.239573851 10.253998088 4.9535948051016e-06 4380 0.000318690720130689
51 5 1.14780920815776 1.19454145838055 0.000117498880390485 44.7946172714233 13.6228080034256 253.065756225586 275.479527282715 279.008982849121 274.530101013184 5317.90769042969 1198.36677246094 55.0802806854248 2.532184068 7.777887727 7.96449784274955e-06 5110 0
51 6 1.65779575889998 1.57721592836598 0.000111378520450671 32.8521677017212 10.6508999347687 256.527980041504 278.257046508789 280.812252807617 279.139053344727 5386.17592773438 1211.28393554688 33.2010643005371 2.552266743 6.267307814 2.21097910326762e-06 5840 0
51 7 1.89170010846983 1.60518101373096 0.000104092082256102 25.1715264320374 12.9902600288391 258.975343322754 280.471006774902 282.37823638916 280.596948242188 5433.05615234375 1221.65604858398 25.3022269248962 2.530920979 5.689517818 1.72456219900141e-06 6570 0
51 8 1.50071743111796 1.14440054223668 0.000121779081237037 37.2838185310364 13.5147463083267 258.48539276123 280.400749206543 283.540351867676 279.465826416016 5423.91721191406 1221.04645385742 25.272252368927 2.54236626 6.782196685 2.36249818499346e-06 7300 0
51 9 0.887661175180735 0.714234577629272 0.000179829383450851 73.7447298049927 12.0731929421425 256.001607513428 278.848449707031 283.249893188477 276.732019042969 5378.28779296875 1213.73814086914 31.5475162506104 2.0 10.896969932 3.84303617693149e-06 8030 0
51 10 0.407751772340253 0.316547507444945 0.000202910883963341 133.983256721497 10.1460885643959 252.869888305664 275.947631835938 281.931619262695 271.112646484375 5317.5548828125 1200.22354125977 52.1170808792114 2.0 10.627213153 3.2256624706406e-06 8760 0
51 11 0.200663298750969 0.137462427569067 0.000198929768084781 221.596460723877 10.0602010011673 250.401171112061 273.61467590332 280.345439147949 264.954222106934 5266.28615722656 1189.62485351563 83.4694850921631 2.0 10.370290942 1.85582270191276e-06 730 2.43983195105102e-08
51 12 0.142476619415686 0.0987182194133257 0.000217731204611482 192.049711799622 12.1987303137779 248.967198181152 272.204667663574 279.025079345703 261.713408660889 5241.52692871094 1183.40889282227 117.01033706665 4.012578087 11.737529999 1.49542045641549e-06 1460 0.000221760580085174
